"","LATITUDE","LONGITUDE","CONDITION","THEFTCOUNT","DOT_COLOR","SAFETY_RATING"
"1",47.6104,-122.341,"GOOD",124,"#B04F00","Pretty unsafe"
"2",47.6441,-122.3039,"",28,"#27D800","Pretty safe"
"3",47.6172,-122.3413,"GOOD",83,"#768900","Pretty safe"
"4",47.6237,-122.3072,"GOOD",19,"#1BE400","Safe"
"5",47.62,-122.3204,"",71,"#659A00","Pretty safe"
"6",47.6089,-122.3288,"",34,"#30CF00","Pretty safe"
"7",47.6243,-122.3179,"",32,"#2DD200","Pretty safe"
"8",47.6247,-122.3267,"",36,"#33CC00","Pretty safe"
"9",47.6319,-122.3085,"",16,"#16E900","Safe"
"10",47.6077,-122.3251,"",51,"#48B700","Pretty safe"
"11",47.6675,-122.3761,"GOOD",40,"#38C700","Pretty safe"
"12",47.6674,-122.3763,"GOOD",40,"#38C700","Pretty safe"
"13",47.6715,-122.3763,"GOOD",33,"#2FD000","Pretty safe"
"14",47.6222,-122.3582,"GOOD",37,"#34CB00","Pretty safe"
"15",47.6231,-122.3581,"GOOD",37,"#34CB00","Pretty safe"
"16",47.6225,-122.3581,"GOOD",37,"#34CB00","Pretty safe"
"17",47.6865,-122.3769,"GOOD",6,"#08F700","Very safe"
"18",47.6863,-122.3767,"GOOD",6,"#08F700","Very safe"
"19",47.6866,-122.3767,"GOOD",6,"#08F700","Very safe"
"20",47.6859,-122.3767,"GOOD",6,"#08F700","Very safe"
"21",47.6882,-122.3767,"GOOD",9,"#0CF300","Safe"
"22",47.6873,-122.3769,"GOOD",7,"#09F600","Very safe"
"23",47.6965,-122.3769,"GOOD",1,"#01FE00","Very safe"
"24",47.6965,-122.3769,"GOOD",1,"#01FE00","Very safe"
"25",47.6676,-122.3007,"GOOD",27,"#26D900","Pretty safe"
"26",47.6674,-122.3007,"GOOD",27,"#26D900","Pretty safe"
"27",47.6671,-122.3007,"GOOD",27,"#26D900","Pretty safe"
"28",47.667,-122.3007,"GOOD",27,"#26D900","Pretty safe"
"29",47.6667,-122.3007,"GOOD",27,"#26D900","Pretty safe"
"30",47.6678,-122.3005,"GOOD",26,"#25DA00","Safe"
"31",47.667,-122.3005,"GOOD",26,"#25DA00","Safe"
"32",47.6003,-122.3301,"GOOD",58,"#52AD00","Pretty safe"
"33",47.6701,-122.3846,"GOOD",61,"#56A900","Pretty safe"
"34",47.6699,-122.3846,"GOOD",65,"#5CA300","Pretty safe"
"35",47.6699,-122.3849,"GOOD",65,"#5CA300","Pretty safe"
"36",47.6696,-122.3846,"GOOD",88,"#7D8200","Pretty safe"
"37",47.6703,-122.3848,"GOOD",61,"#56A900","Pretty safe"
"38",47.5991,-122.3032,"GOOD",3,"#04FB00","Very safe"
"39",1,1,"GOOD",0,"#00FF00","Very safe"
"40",47.6154,-122.3128,"GOOD",47,"#42BD00","Pretty safe"
"41",47.6171,-122.3128,"GOOD",53,"#4BB400","Pretty safe"
"42",47.6188,-122.3128,"GOOD",26,"#25DA00","Safe"
"43",47.6187,-122.3127,"GOOD",26,"#25DA00","Safe"
"44",47.621,-122.3126,"GOOD",17,"#18E700","Safe"
"45",47.6603,-122.3156,"GOOD",61,"#56A900","Pretty safe"
