RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
1032291,2016264104,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,07/23/2016 05:43:00 PM,07/19/2016 11:00:00 AM,07/19/2016 11:05:00 AM,11XX BLOCK OF MADISON ST,E,E3,8300.1006,-122.324584961,47.60956955,"(47.60956955, -122.324584961)",7,2016
1032394,2016315745,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,08/31/2016 04:24:00 PM,08/29/2016 09:00:00 PM,08/30/2016 07:30:00 AM,24XX BLOCK OF E SPRING ST,C,C3,8800.1010,-122.30078125,47.61157608,"(47.61157608, -122.30078125)",8,2016
887881,2013904793,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,03/08/2013 02:49:00 PM,02/26/2013 01:50:00 PM,03/08/2013 01:50:00 PM,42XX BLOCK OF ROOSEVELT WY NE,U,U2,5200.2000,-122.3177948,47.657939911,"(47.657939911, -122.3177948)",3,2013
1032578,2016310777,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,08/27/2016 09:16:00 PM,08/27/2016 05:00:00 PM,08/27/2016 07:00:00 PM,2XX BLOCK OF YALE AV N,D,D3,7300.1024,-122.330421448,47.620243073,"(47.620243073, -122.330421448)",8,2016
887961,201377005,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,03/06/2013 06:47:00 PM,03/06/2013 02:00:00 PM,03/06/2013 04:15:00 PM,24XX BLOCK OF 3 AV S,O,O1,9300.3014,-122.329986572,47.580852509,"(47.580852509, -122.329986572)",3,2013
1032616,2016323020,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/06/2016 11:30:00 AM,08/17/2016 06:30:00 PM,08/17/2016 09:00:00 PM,14XX BLOCK OF S LANE ST,G,G3,9000.2033,-122.313438416,47.596652985,"(47.596652985, -122.313438416)",9,2016
888004,201376935,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,03/06/2013 05:20:00 PM,03/06/2013 07:45:00 AM,03/06/2013 04:15:00 PM,5XX BLOCK OF 4 AV,K,K1,8100.2028,-122.329971313,47.602874756,"(47.602874756, -122.329971313)",3,2013
888115,201375260,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,03/05/2013 10:59:00 AM,03/04/2013 08:00:00 PM,03/05/2013 01:00:00 AM,23XX BLOCK OF 2 AV,D,D1,8001.2004,-122.346305847,47.614421844,"(47.614421844, -122.346305847)",3,2013
1032990,2014283323,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,08/25/2014 07:10:00 PM,08/10/2014 12:00:00 PM,08/10/2014 12:30:00 PM,30XX BLOCK OF CALIFORNIA AV SW,W,W1,9800.1027,-122.386734009,47.576309204,"(47.576309204, -122.386734009)",8,2014
888146,201374541,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,03/04/2013 07:40:00 PM,03/04/2013 07:40:00 PM,,5XX BLOCK OF EASTLAKE AV E,D,D3,7300.1014,-122.329162598,47.623703003,"(47.623703003, -122.329162598)",3,2013
